model,condition,profile,task,run,model_id,miss,loc,primitive_calls,syntax_error,runtime_errors,timeouts,truth,reported_outcome,false_confirmations,false_alarms,bucket,say_count,say_before_action,say_mid,say_after_all,say_objects,say_progress,say_environment,say_intent,say_confirming,say_verb,say_robot_action,say_error,total_actions,exec_seconds,speech_seconds_est,silence_seconds_est,longest_silent_gap,failure_type,pct_before,pct_mid,pct_after,pct_objects,pct_progress,pct_environment,pct_intent,pct_confirming,pct_verb,pct_robot_action,pct_error,stale_format
claude45,baseline,blind,L3,2,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.2,4.4,0,3.2,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L3,3,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,0,1,0,4,3.5,4.8,0,3.5,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L3,4,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.3,4.4,0,3.3,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L3,5,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,0,1,0,4,3.2,4.8,0,3.2,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L4,1,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,2,1,1,0,2,0,0,0,0,0,2,0,2,2.4,5.6,0,1.2,,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L4,2,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,2,1,1,0,2,0,0,0,0,0,2,0,2,2.2,5.6,0,1.1,,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L4,3,claude-opus-4-5,0,4,0,0,0,0,0,0,0,0,silent,2,1,1,0,2,0,0,0,0,0,2,0,2,1.8,5.6,0,1.1,attempted,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L4,4,claude-opus-4-5,0,5,0,0,0,0,1,1,0,0,correct_report,3,1,1,1,3,0,0,0,0,1,2,0,2,2.4,12.0,0,1.2,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0
claude45,baseline,blind,L4,5,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,2,1,1,0,2,0,0,0,0,0,2,0,2,2.1,5.6,0,1.1,,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L5,1,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,0,1,0,4,3.3,5.2,0,3.3,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L5,2,claude-opus-4-5,0,6,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.5,3.6,0,3.5,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L5,3,claude-opus-4-5,0,6,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,0,1,0,4,3.4,4.4,0,3.4,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L5,4,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,0,1,0,4,3.6,5.2,0,3.6,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L5,5,claude-opus-4-5,0,5,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,1,0,0,0,1,0,4,2.8,5.2,0,2.8,attempted,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L6,1,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.2,4.8,0,3.2,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L6,2,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.2,4.8,0,3.2,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L6,3,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.1,3.6,0,3.1,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L6,4,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.7,4.8,0,3.7,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L6,5,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,1,1,0,4,3.0,3.6,0,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L7,1,claude-opus-4-5,0,5,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,3,4.7,6.0,0,4.7,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L7,2,claude-opus-4-5,0,5,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,3,6.7,6.0,0.7,6.7,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L7,3,claude-opus-4-5,0,5,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,3,6.6,6.0,0.6,6.6,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L7,4,claude-opus-4-5,0,5,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,3,4.7,6.4,0,4.7,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L7,5,claude-opus-4-5,0,5,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,3,6.7,6.0,0.7,6.7,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L8,1,claude-opus-4-5,0,11,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,2,3.1,2.8,0.3,3.1,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L8,2,claude-opus-4-5,0,11,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,2,3.4,3.2,0.2,3.4,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L8,3,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,3,5.0,3.2,1.8,5.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L8,4,claude-opus-4-5,0,11,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,2,3.0,3.2,0,3.0,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L8,5,claude-opus-4-5,0,11,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,2,2.5,3.2,0,2.5,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L9,1,claude-opus-4-5,0,9,0,0,0,0,0,0,0,0,silent,2,1,1,0,0,0,1,0,0,2,2,0,8,5.2,5.2,0.0,3.0,attempted,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L9,2,claude-opus-4-5,0,9,0,0,0,0,0,0,0,0,silent,2,1,1,0,0,0,1,0,0,2,2,0,8,6.6,5.2,1.4,3.4,attempted,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L9,3,claude-opus-4-5,0,9,0,0,0,0,0,0,0,0,silent,2,1,1,0,0,0,1,0,0,2,2,0,8,7.4,5.2,2.2,3.8,attempted,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L9,4,claude-opus-4-5,0,9,0,0,0,0,1,0,0,0,silent,2,1,1,0,0,0,1,0,0,2,2,0,8,6.5,5.2,1.3,3.3,,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L9,5,claude-opus-4-5,0,9,0,0,0,0,0,0,0,0,silent,2,1,1,0,0,0,1,0,0,2,2,0,8,7.3,5.2,2.1,3.7,attempted,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S10,1,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.0,2.8,0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S10,2,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,0,1,0,1,0.0,2.8,0,0.0,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S10,3,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,0,1,0,1,0.0,2.8,0,0.0,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S10,4,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,0,1,0,1,0.0,2.8,0,0.0,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S10,5,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,0,1,0,1,0.0,2.8,0,0.0,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S11,1,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.6,3.6,0,1.6,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S11,2,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.5,3.6,0,1.5,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S11,3,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.7,3.6,0,1.7,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S11,4,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.5,3.6,0,1.5,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S11,5,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.9,3.6,0,1.9,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S1,1,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,0.8,4.0,0,0.8,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S1,2,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,1,0.5,3.2,0,0.5,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S1,3,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,1,0.7,3.2,0,0.7,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S1,4,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,0.8,4.0,0,0.8,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S1,5,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,0.9,4.0,0,0.9,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S2,1,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,0,0,1,0,0,1,0,1,0,0.0,6.0,0,0.0,no_attempt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
claude45,baseline,blind,S2,2,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,0,0,1,0,0,1,0,1,0,0.0,6.4,0,0.0,no_attempt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
claude45,baseline,blind,S2,3,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,0,0,1,0,0,1,0,1,0,0.0,7.2,0,0.0,no_attempt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
claude45,baseline,blind,S2,4,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,0,0,1,0,0,1,0,1,0,0.0,6.4,0,0.0,no_attempt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
claude45,baseline,blind,S2,5,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,0,0,1,0,0,1,0,1,0,0.0,6.0,0,0.0,no_attempt,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
claude45,baseline,blind,S3,1,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,1,0,0,0,0,0,0,1,0,0.0,8.0,0,0.0,no_attempt,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
claude45,baseline,blind,S3,2,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,1,0,0,0,0,0,0,1,0,0.0,8.0,0,0.0,no_attempt,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
claude45,baseline,blind,S3,3,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.6,0,0.0,no_attempt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
claude45,baseline,blind,S3,4,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,3.6,0,0.0,no_attempt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
claude45,baseline,blind,S3,5,claude-opus-4-5,0,1,0,0,0,0,0,1,0,0,correct_report,1,1,0,0,1,0,0,0,0,0,0,1,0,0.0,8.0,0,0.0,no_attempt,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
claude45,baseline,blind,S4,1,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.2,2.8,0,1.2,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S4,2,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.2,2.8,0,1.2,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S4,3,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.2,2.8,0,1.2,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S4,4,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.2,2.8,0,1.2,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S4,5,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.4,2.8,0,1.4,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S5,1,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,0.6,2.8,0,0.6,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S5,2,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.2,2.8,0,1.2,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S5,3,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,0.6,3.6,0,0.6,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S5,4,claude-opus-4-5,0,2,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,0.6,2.8,0,0.6,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S5,5,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.3,2.8,0,1.3,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,S6,1,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,1,0,0,1,1,0,1,0.9,4.0,0,0.9,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S6,2,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,1,0,0,1,1,0,1,0.8,4.0,0,0.8,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S6,3,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,1,0,0,1,1,0,1,0.9,4.0,0,0.9,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S6,4,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,1,0,0,1,1,0,1,0.9,4.0,0,0.9,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S6,5,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,1,0,0,1,1,0,1,0.8,4.0,0,0.8,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S7,1,claude-opus-4-5,0,4,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,1,0.8,4.4,0,0.8,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S7,2,claude-opus-4-5,0,4,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,1,0.8,4.4,0,0.8,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S7,3,claude-opus-4-5,0,4,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,1,0.8,4.4,0,0.8,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S7,4,claude-opus-4-5,0,4,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,1,0.9,4.4,0,0.9,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S7,5,claude-opus-4-5,0,4,0,0,0,0,0,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,1,0.8,4.4,0,0.8,attempted,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,S9,1,claude-opus-4-5,0,2,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,0,1,0,1,1.0,3.6,0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
